Date,Location,Fund,Value
1/1/2020,Te,E,-222.18
1/2/2020,,E,3800
1/2/2020,,E,145.12
1/2/2020,Te,E,3950
1/2/2020,Te,E,-114.85
1/2/2020,,E,-3800
1/2/2020,,E,-25.01
1/3/2020,,E,-3000
1/3/2020,,E,-400
1/3/2020,Te,E,-1071.34
1/3/2020,Te,E,-1669.66
1/3/2020,,E,3000
1/3/2020,19,E,-104
1/3/2020,19,E,-104
1/3/2020,,E,-28.76
1/4/2020,,E,-599.75
1/4/2020,,E,599.75
1/5/2020,,E,-50.99
1/6/2020,19,C,3300
1/6/2020,,E,100
1/6/2020,,E,100
1/6/2020,,E,-29.99
1/7/2020,19,E,2537
1/7/2020,,E,-376.56
1/8/2020,,E,729.32
1/8/2020,,E,-0.78
1/8/2020,,E,-75
1/8/2020,,E,-37
1/9/2020,,E,-3500
1/9/2020,,E,3500
1/9/2020,19,E,-65.5
1/10/2020,,E,-200
1/10/2020,,E,-53
1/13/2020,19,E,2700
1/13/2020,Lo,E,-3458
1/14/2020,,E,-50.42
1/15/2020,19,E,-132.69
1/15/2020,,E,-678.98
1/15/2020,,E,-15.65
1/15/2020,Lo,E,-926
1/15/2020,Te,E,-67.2
1/15/2020,,E,-20.51
1/15/2020,,E,-93
1/15/2020,,E,678.98
1/16/2020,,E,-15.99
1/16/2020,,E,-13.99
1/19/2020,,E,-10.33
1/19/2020,,E,-2.25
1/20/2020,,E,-500
1/20/2020,,E,522.45
1/20/2020,,E,500
1/20/2020,,E,-48.25
1/21/2020,,E,-522.45
1/21/2020,19,E,-259.91
1/21/2020,,E,-303.75
1/21/2020,Te,E,-328.37
1/21/2020,,E,303.75
1/21/2020,,E,-65
1/22/2020,,E,347.32
1/22/2020,,E,-1000
1/22/2020,,E,-13.47
1/22/2020,,E,1000
1/22/2020,,E,-12500
1/22/2020,,E,-500
1/24/2020,,E,-200
1/25/2020,19,E,5900
1/25/2020,19,E,-152.98
1/26/2020,,E,-89
1/26/2020,,E,-131.34
1/26/2020,,E,-28
1/27/2020,,E,-39.77
1/27/2020,,E,-119.94
1/27/2020,Lo,E,-590
1/28/2020,,E,-38.9
1/29/2020,,E,375.56
1/29/2020,,E,-200
1/30/2020,,E,-9000
1/30/2020,,E,9000
1/30/2020,,E,-10.48
1/31/2020,,E,-8000
1/31/2020,,E,-29.99
1/31/2020,,E,0.05
1/31/2020,,E,8000
2/1/2020,Te,E,3950
2/1/2020,,E,-3900
2/2/2020,,E,-111.98
2/2/2020,,E,-96
2/2/2020,,E,-51.99
2/3/2020,,E,3900
2/3/2020,,E,100
2/3/2020,,E,-1381.97
2/3/2020,19,E,-104
2/3/2020,,E,1381.97
2/3/2020,,E,-100
2/4/2020,19,E,2537
2/4/2020,19,C,3300
2/4/2020,,E,-205
2/4/2020,,E,-24.99
2/5/2020,,E,-3000
2/5/2020,,E,139.76
2/5/2020,,E,3000
2/5/2020,Te,E,-1074.35
2/5/2020,Te,E,-1666.65
2/5/2020,,E,-48.98
2/6/2020,19,E,-354.24
2/6/2020,,E,-36
2/7/2020,,E,-3500
2/7/2020,,E,3500
2/7/2020,,E,-500
2/7/2020,,E,500
2/9/2020,,E,-2
2/10/2020,,E,-54
2/11/2020,,E,-200
2/12/2020,19,C,1300
2/12/2020,,E,742.58
2/12/2020,Lo,E,-3458
2/12/2020,,E,-47.01
2/14/2020,19,E,-599.96
2/14/2020,Te,E,-265.11
2/16/2020,,E,-15.99
2/17/2020,,E,611.22
2/17/2020,,E,212.98
2/17/2020,,E,-44.02
2/17/2020,,E,-13.99
2/18/2020,19,T,440
2/18/2020,19,T,3530
2/18/2020,19,E,-148.63
2/18/2020,19,T,3000
2/18/2020,,E,-611.22
2/18/2020,19,E,185
2/18/2020,,E,-212.98
2/18/2020,Lo,E,-926
2/18/2020,Te,E,-61.82
2/18/2020,,E,-39.8
2/18/2020,Te,E,-601.25
2/19/2020,,E,688.91
2/19/2020,,E,-304.5
2/19/2020,,E,-328.37
2/19/2020,,E,-2.5
2/20/2020,Te,E,-222.18
2/23/2020,,E,-22
2/24/2020,19,T,-7000
2/24/2020,,E,-20.98
2/24/2020,,E,-51
2/24/2020,,E,-47.01
2/25/2020,19,C,1500
2/25/2020,19,E,-159.03
2/25/2020,,E,-90
2/26/2020,,E,378.03
2/26/2020,,E,-75
2/27/2020,,E,-17.18
2/27/2020,,E,-26
2/28/2020,19,E,-5
2/28/2020,19,E,-2
2/28/2020,,E,-15
2/28/2020,,E,-2.25
2/29/2020,,E,-29.99
2/29/2020,,E,0.06
3/1/2020,Te,E,3950
3/1/2020,,E,-3900
3/1/2020,,E,-48.98
3/1/2020,,E,-36
3/2/2020,,E,-4200
3/2/2020,,E,-1000
3/2/2020,,E,3900
3/2/2020,,E,100
3/2/2020,,E,-500
3/2/2020,19,E,5
3/2/2020,19,E,2
3/2/2020,,E,10500
3/2/2020,19,E,-10333.27
3/2/2020,,E,-50
3/2/2020,,E,1000
3/2/2020,,E,-65
3/2/2020,,E,-38.47
3/3/2020,,E,-3000
3/3/2020,,E,3000
3/3/2020,,E,-1077.38
3/3/2020,Te,E,-1663.62
3/3/2020,19,E,-104
3/3/2020,,E,-111.98
3/4/2020,19,E,2537
3/4/2020,Lo,E,3195
3/4/2020,,E,1000
3/4/2020,,E,286.34
3/6/2020,Te,E,-26.2
